timestamp	company	status
2026-09-10T09:26:17.400Z	HubSpot	empty
2026-09-10T09:26:17.400Z	Intercom	reachable
2026-09-10T09:26:17.400Z	Adyen	reachable
2026-09-10T09:26:17.400Z	Elastic	reachable
2026-09-10T09:26:17.400Z	Miro	reachable
2026-09-10T09:26:17.400Z	Anthropic	reachable
2026-09-10T09:26:17.400Z	OpenAI	reachable
2026-09-10T09:26:17.400Z	Mistral AI	empty
2026-09-10T09:26:17.400Z	Hugging Face	reachable
2026-09-10T09:26:17.400Z	Satispay	reachable
2026-09-10T09:26:17.400Z	Scalapay	reachable
2026-09-10T09:26:17.400Z	N26	reachable
2026-09-11T09:24:56.707Z	Stripe	reachable
2026-09-11T09:24:56.707Z	Workday	reachable
2026-09-11T09:24:56.707Z	HubSpot	empty
2026-09-11T09:24:56.707Z	Intercom	reachable
2026-09-11T09:24:56.707Z	Adyen	reachable
2026-09-11T09:24:56.707Z	Elastic	reachable
2026-09-11T09:24:56.707Z	Miro	reachable
2026-09-11T09:24:56.707Z	Anthropic	reachable
2026-09-11T09:24:56.707Z	OpenAI	reachable
2026-09-11T09:24:56.707Z	Mistral AI	empty
2026-09-11T09:24:56.707Z	Hugging Face	reachable
2026-09-11T09:24:56.707Z	Satispay	reachable
2026-09-11T09:24:56.707Z	Scalapay	reachable
2026-09-11T09:24:56.707Z	N26	reachable
2026-09-12T09:04:22.415Z	Stripe	reachable
2026-09-12T09:04:22.415Z	Workday	reachable
2026-09-12T09:04:22.415Z	HubSpot	empty
2026-09-12T09:04:22.415Z	Intercom	reachable
2026-09-12T09:04:22.415Z	Adyen	reachable
2026-09-12T09:04:22.415Z	Elastic	reachable
2026-09-12T09:04:22.415Z	Miro	reachable
2026-09-12T09:04:22.415Z	Anthropic	reachable
2026-09-12T09:04:22.415Z	OpenAI	reachable
2026-09-12T09:04:22.415Z	Mistral AI	empty
2026-09-12T09:04:22.415Z	Hugging Face	reachable
2026-09-12T09:04:22.415Z	Satispay	reachable
2026-09-12T09:04:22.415Z	Scalapay	reachable
2026-09-12T09:04:22.415Z	N26	reachable
2026-09-13T10:02:53.803Z	Stripe	reachable
2026-09-13T10:02:53.803Z	Workday	reachable
2026-09-13T10:02:53.803Z	HubSpot	empty
2026-09-13T10:02:53.803Z	Intercom	reachable
2026-09-13T10:02:53.803Z	Adyen	reachable
2026-09-13T10:02:53.803Z	Elastic	reachable
2026-09-13T10:02:53.803Z	Miro	reachable
2026-09-13T10:02:53.803Z	Anthropic	reachable
2026-09-13T10:02:53.803Z	OpenAI	reachable
2026-09-13T10:02:53.803Z	Mistral AI	empty
2026-09-13T10:02:53.803Z	Hugging Face	reachable
2026-09-13T10:02:53.803Z	Satispay	reachable
2026-09-13T10:02:53.803Z	Scalapay	reachable
2026-09-13T10:02:53.803Z	N26	reachable
2026-09-14T10:23:18.009Z	Stripe	reachable
2026-09-14T10:23:18.009Z	Workday	reachable
2026-09-14T10:23:18.009Z	HubSpot	empty
2026-09-14T10:23:18.009Z	Intercom	reachable
2026-09-14T10:23:18.009Z	Adyen	reachable
2026-09-14T10:23:18.009Z	Elastic	reachable
2026-09-14T10:23:18.009Z	Miro	reachable
2026-09-14T10:23:18.009Z	Anthropic	reachable
2026-09-14T10:23:18.009Z	OpenAI	reachable
2026-09-14T10:23:18.009Z	Mistral AI	empty
2026-09-14T10:23:18.009Z	Hugging Face	reachable
2026-09-14T10:23:18.009Z	Satispay	reachable
2026-09-14T10:23:18.009Z	Scalapay	reachable
2026-09-14T10:23:18.009Z	N26	reachable
2026-09-15T09:49:51.829Z	Stripe	reachable
2026-09-15T09:49:51.829Z	Workday	reachable
2026-09-15T09:49:51.829Z	HubSpot	empty
2026-09-15T09:49:51.829Z	Intercom	reachable
2026-09-15T09:49:51.829Z	Adyen	reachable
2026-09-15T09:49:51.829Z	Elastic	reachable
2026-09-15T09:49:51.829Z	Miro	reachable
2026-09-15T09:49:51.829Z	Anthropic	reachable
2026-09-15T09:49:51.829Z	OpenAI	reachable
2026-09-15T09:49:51.829Z	Mistral AI	empty
2026-09-15T09:49:51.829Z	Hugging Face	reachable
2026-09-15T09:49:51.829Z	Satispay	reachable
2026-09-15T09:49:51.829Z	Scalapay	reachable
2026-09-15T09:49:51.829Z	N26	reachable
2026-09-16T09:45:01.718Z	Stripe	reachable
2026-09-16T09:45:01.718Z	Workday	reachable
2026-09-16T09:45:01.718Z	HubSpot	empty
2026-09-16T09:45:01.718Z	Intercom	reachable
2026-09-16T09:45:01.718Z	Adyen	reachable
2026-09-16T09:45:01.718Z	Elastic	reachable
2026-09-16T09:45:01.718Z	Miro	reachable
2026-09-16T09:45:01.718Z	Anthropic	reachable
2026-09-16T09:45:01.718Z	OpenAI	reachable
2026-09-16T09:45:01.718Z	Mistral AI	empty
2026-09-16T09:45:01.718Z	Hugging Face	reachable
2026-09-16T09:45:01.718Z	Satispay	reachable
2026-09-16T09:45:01.718Z	Scalapay	reachable
2026-09-16T09:45:01.718Z	N26	reachable
2026-09-17T09:53:01.712Z	Stripe	reachable
2026-09-17T09:53:01.712Z	Workday	reachable
2026-09-17T09:53:01.712Z	HubSpot	empty
2026-09-17T09:53:01.712Z	Intercom	reachable
2026-09-17T09:53:01.712Z	Adyen	reachable
2026-09-17T09:53:01.712Z	Elastic	reachable
2026-09-17T09:53:01.712Z	Miro	reachable
2026-09-17T09:53:01.712Z	Anthropic	reachable
2026-09-17T09:53:01.712Z	OpenAI	reachable
2026-09-17T09:53:01.712Z	Mistral AI	empty
2026-09-17T09:53:01.712Z	Hugging Face	reachable
2026-09-17T09:53:01.712Z	Satispay	reachable
2026-09-17T09:53:01.712Z	Scalapay	reachable
2026-09-17T09:53:01.712Z	N26	reachable
2026-09-18T09:26:32.977Z	Stripe	reachable
2026-09-18T09:26:32.977Z	Workday	reachable
2026-09-18T09:26:32.977Z	HubSpot	empty
2026-09-18T09:26:32.977Z	Intercom	reachable
2026-09-18T09:26:32.977Z	Adyen	reachable
2026-09-18T09:26:32.977Z	Elastic	reachable
2026-09-18T09:26:32.977Z	Miro	reachable
2026-09-18T09:26:32.977Z	Anthropic	reachable
2026-09-18T09:26:32.977Z	OpenAI	reachable
2026-09-18T09:26:32.977Z	Mistral AI	empty
2026-09-18T09:26:32.977Z	Hugging Face	reachable
2026-09-18T09:26:32.977Z	Satispay	reachable
2026-09-18T09:26:32.977Z	Scalapay	reachable
2026-09-18T09:26:32.977Z	N26	reachable
2026-09-19T09:14:45.496Z	Stripe	reachable
2026-09-19T09:14:45.496Z	Workday	reachable
2026-09-19T09:14:45.496Z	HubSpot	empty
2026-09-19T09:14:45.496Z	Intercom	reachable
2026-09-19T09:14:45.496Z	Adyen	reachable
2026-09-19T09:14:45.496Z	Elastic	reachable
2026-09-19T09:14:45.496Z	Miro	reachable
2026-09-19T09:14:45.496Z	Anthropic	reachable
2026-09-19T09:14:45.496Z	OpenAI	reachable
